Time: 247.904769906 seconds | CompleteTranslationUnit;
Time: 48.570040002 seconds | cpp2::Struct21::read<apache::thrift::BinaryProtocolReader>;
Time: 46.247179001 seconds | cpp2::Struct21::read<apache::thrift::CompactProtocolReader>;
Time: 21.433396000 seconds | cpp2::Struct24::read<apache::thrift::BinaryProtocolReader>;
Time: 21.337791002 seconds | cpp2::Struct24::read<apache::thrift::CompactProtocolReader>;
Time: 18.616050007 seconds | cpp2::Struct13::read<apache::thrift::BinaryProtocolReader>;
Time: 18.278584001 seconds | cpp2::Struct13::read<apache::thrift::CompactProtocolReader>;
Time: 7.105594000 seconds | cpp2::Struct25::read<apache::thrift::CompactProtocolReader>;
Time: 6.925918000 seconds | cpp2::Struct25::read<apache::thrift::BinaryProtocolReader>;
Time: 3.523421001 seconds | cpp2::Struct27::read<apache::thrift::CompactProtocolReader>;
Time: 3.396467001 seconds | cpp2::Struct27::read<apache::thrift::BinaryProtocolReader>;
Time: 2.858774001 seconds | cpp2::Struct20::read<apache::thrift::CompactProtocolReader>;
Time: 2.750236000 seconds | cpp2::Struct20::read<apache::thrift::BinaryProtocolReader>;
Time: 2.659697001 seconds | cpp2::Struct17::read<apache::thrift::CompactProtocolReader>;
Time: 2.495266999 seconds | cpp2::Struct17::read<apache::thrift::BinaryProtocolReader>;
Time: 1.197163002 seconds | cpp2::Struct14::read<apache::thrift::BinaryProtocolReader>;
Time: 1.194614000 seconds | cpp2::Struct14::read<apache::thrift::CompactProtocolReader>;
Time: 0.874263000 seconds | cpp2::Struct18::read<apache::thrift::BinaryProtocolReader>;
Time: 0.850582000 seconds | cpp2::Struct18::read<apache::thrift::CompactProtocolReader>;
Time: 0.638051002 seconds | cpp2::Struct11::read<apache::thrift::BinaryProtocolReader>;
Time: 0.631709999 seconds | std::__1::map<cpp2::Struct18, std::__1::set<signed char, std::__1::less<signed char>, std::__1::allocator<signed char> >, std::__1::less<cpp2::Struct18>, std::__1::allocator<std::__1::pair<const cpp2::Struct18, std::__1::set<signed char, std::__1::less<signed char>, std::__1::allocator<signed char> > > > >::operator[];
Time: 0.602209002 seconds | cpp2::Struct11::read<apache::thrift::CompactProtocolReader>;
Time: 0.562813999 seconds | std::__1::map<cpp2::Struct11, short, std::__1::less<cpp2::Struct11>, std::__1::allocator<std::__1::pair<const cpp2::Struct11, short> > >::operator[];
Time: 0.538455999 seconds | std::__1::map<cpp2::Struct5, std::__1::map<cpp2::Struct1, float, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, float> > >, std::__1::less<cpp2::Struct5>, std::__1::allocator<std::__1::pair<const cpp2::Struct5, std::__1::map<cpp2::Struct1, float, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, float> > > > > >::operator[];
Time: 0.493295000 seconds | cpp2::Struct6::read<apache::thrift::CompactProtocolReader>;
Time: 0.446161002 seconds | cpp2::Struct6::read<apache::thrift::BinaryProtocolReader>;
Time: 0.226633999 seconds | std::__1::map<cpp2::Struct1, float, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, float> > >::operator[];
Time: 0.216884000 seconds | std::__1::set<std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >, std::__1::less<std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> > >, std::__1::allocator<std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> > > >::insert;
Time: 0.216866001 seconds | cpp2::Struct10::read<apache::thrift::BinaryProtocolReader>;
Time: 0.186590999 seconds | cpp2::Struct10::read<apache::thrift::CompactProtocolReader>;
Time: 0.166015001 seconds | cpp2::Struct9::read<apache::thrift::BinaryProtocolReader>;
Time: 0.149199001 seconds | cpp2::Struct9::read<apache::thrift::CompactProtocolReader>;
Time: 0.147844999 seconds | cpp2::Struct22::read<apache::thrift::CompactProtocolReader>;
Time: 0.147757999 seconds | std::__1::map<std::__1::set<cpp2::Struct4, std::__1::less<cpp2::Struct4>, std::__1::allocator<cpp2::Struct4> >, cpp2::Struct2, std::__1::less<std::__1::set<cpp2::Struct4, std::__1::less<cpp2::Struct4>, std::__1::allocator<cpp2::Struct4> > >, std::__1::allocator<std::__1::pair<const std::__1::set<cpp2::Struct4, std::__1::less<cpp2::Struct4>, std::__1::allocator<cpp2::Struct4> >, cpp2::Struct2> > >::operator[];
Time: 0.144148999 seconds | cpp2::Struct22::read<apache::thrift::BinaryProtocolReader>;
Time: 0.127297999 seconds | std::__1::map<short, bool, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, bool> > >::operator[];
Time: 0.121795000 seconds | apache::thrift::deserialize_known_length_map<std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >, std::__1::basic_string<char>, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/file1_types.tcc:113383:43), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/file1_types.tcc:113406:43)>;
Time: 0.106825000 seconds | std::__1::map<std::__1::vector<int, std::__1::allocator<int> >, std::__1::vector<float, std::__1::allocator<float> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<int, std::__1::allocator<int> >, std::__1::vector<float, std::__1::allocator<float> > > > >::operator[];
Time: 0.104879999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
