Time: 0.036867000 seconds | apache::thrift::deserialize_known_length_map<bool, signed char, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1226:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1230:41)>;
Time: 0.034260999 seconds | std::__1::pair<const signed char, cpp2::Struct3>;
Time: 0.032639999 seconds | std::__1::operator==<double, std::__1::vector<std::__1::map<double, float, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, float> > >, std::__1::allocator<std::__1::map<double, float, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, float> > > > >, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::vector<std::__1::map<double, float, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, float> > >, std::__1::allocator<std::__1::map<double, float, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, float> > > > > > > >;
Time: 0.032590999 seconds | apache::thrift::deserialize_known_length_map<short, double, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2450:45), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2454:45)>;
Time: 0.031310000 seconds | apache::thrift::deserialize_known_length_map<std::__1::basic_string<char>, std::__1::map<long long, short, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, short> > >, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2998:47), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:3002:47)>;
Time: 0.031220999 seconds | std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, cpp2::Struct6>;
Time: 0.030804000 seconds | apache::thrift::deserialize_known_length_map<bool, std::__1::set<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >, std::__1::less<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> > >, std::__1::allocator<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> > > >, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1675:45), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1679:45)>;
Time: 0.028015000 seconds | apache::thrift::deserialize_known_length_map<signed char, std::__1::basic_string<char>, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:3300:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:3304:41)>;
Time: 0.027014000 seconds | apache::thrift::deserialize_known_length_map<bool, std::__1::basic_string<char>, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1771:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1775:41)>;
Time: 0.026809000 seconds | apache::thrift::deserialize_known_length_map<long long, short, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2984:45), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2988:45)>;
Time: 0.026439000 seconds | apache::thrift::deserialize_known_length_map<signed char, signed char, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:3162:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:3166:41)>;
Time: 0.025145999 seconds | std::__1::map<std::__1::set<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::less<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > > >, float, std::__1::less<std::__1::set<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::less<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::less<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > > >, float> > >::operator[];
Time: 0.025023000 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > >, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > > > > >;
Time: 0.024270000 seconds | std::__1::map<std::__1::vector<int, std::__1::allocator<int> >, signed char, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<int, std::__1::allocator<int> >, signed char> > >::map;
Time: 0.023013000 seconds | std::__1::map<long long, int, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, int> > >::operator[];
Time: 0.022773000 seconds | std::__1::map<std::__1::vector<float, std::__1::allocator<float> >, int, std::__1::less<std::__1::vector<float, std::__1::allocator<float> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<float, std::__1::allocator<float> >, int> > >::operator[];
Time: 0.022485000 seconds | std::__1::pair<const short, cpp2::Struct5>;
Time: 0.020786999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct15>;
Time: 0.020753000 seconds | std::__1::swap;
