Time: 0.015664999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::map;
Time: 0.015613000 seconds | std::__1::__hash_value_type<long long, apache::thrift::reflection::DataType>;
Time: 0.015187000 seconds | std::__1::map<signed char, float, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, float> > >::operator[];
Time: 0.015047000 seconds | std::__1::unordered_map<short, apache::thrift::reflection::StructField, std::__1::hash<short>, std::__1::equal_to<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::reflection::StructField> > >;
Time: 0.014909999 seconds | std::__1::unordered_map<int, const apache::thrift::frozen::schema::MemoryField *, std::__1::hash<int>, std::__1::equal_to<int>, std::__1::allocator<std::__1::pair<const int, const apache::thrift::frozen::schema::MemoryField *> > >;
Time: 0.014419000 seconds | std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >::insert;
Time: 0.014244000 seconds | std::__1::unordered_map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >;
Time: 0.013682000 seconds | std::__1::set<cpp2::Struct0, std::__1::less<cpp2::Struct0>, std::__1::allocator<cpp2::Struct0> >::insert;
Time: 0.013525000 seconds | std::__1::unordered_set<unsigned long, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::HashIndirect, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::EqualIndirect, std::__1::allocator<unsigned long> >;
Time: 0.013352000 seconds | std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >::insert;
Time: 0.013320999 seconds | std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::operator[];
Time: 0.013110999 seconds | std::__1::unordered_map<std::__1::basic_string<char>, int, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, int> > >;
Time: 0.013014000 seconds | std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >::insert;
Time: 0.012823000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::insert;
Time: 0.012802999 seconds | std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >::insert;
