Time: 0.019149999 seconds | std::__1::map<signed char, std::__1::basic_string<char>, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, std::__1::basic_string<char> > > >::operator[];
Time: 0.018933000 seconds | std::__1::shared_ptr<apache::thrift::protocol::TProtocol>::shared_ptr<apache::thrift::protocol::TSimpleJSONProtocol>;
Time: 0.017981000 seconds | std::__1::unordered_map<int, const apache::thrift::frozen::schema::MemoryField *, std::__1::hash<int>, std::__1::equal_to<int>, std::__1::allocator<std::__1::pair<const int, const apache::thrift::frozen::schema::MemoryField *> > >;
Time: 0.017764000 seconds | std::__1::unordered_map<short, apache::thrift::reflection::StructField, std::__1::hash<short>, std::__1::equal_to<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::reflection::StructField> > >;
Time: 0.016502000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::map;
Time: 0.016049999 seconds | std::__1::unordered_map<long long, apache::thrift::reflection::DataType, std::__1::hash<long long>, std::__1::equal_to<long long>, std::__1::allocator<std::__1::pair<const long long, apache::thrift::reflection::DataType> > >;
Time: 0.015419999 seconds | std::__1::unordered_map<std::__1::basic_string<char>, long long, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > >;
Time: 0.015044000 seconds | std::__1::__hash_value_type<long long, apache::thrift::reflection::DataType>;
Time: 0.015039999 seconds | std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >::insert;
Time: 0.014952000 seconds | std::__1::unordered_set<unsigned long, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::HashIndirect, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::EqualIndirect, std::__1::allocator<unsigned long> >;
Time: 0.014680999 seconds | std::__1::unordered_map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >;
Time: 0.014446999 seconds | std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >::insert;
Time: 0.013307000 seconds | std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > >::operator[];
Time: 0.013303999 seconds | std::__1::set<cpp2::Struct0, std::__1::less<cpp2::Struct0>, std::__1::allocator<cpp2::Struct0> >::insert;
Time: 0.013290999 seconds | std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >::insert;
Time: 0.013266000 seconds | std::__1::make_shared<std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > >>;
Time: 0.013239000 seconds | std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >::insert;
Time: 0.013208999 seconds | std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >::insert;
Time: 0.013148000 seconds | std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >::insert;
Time: 0.013044999 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::insert;
Time: 0.012894000 seconds | std::__1::swap<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > > >;
Time: 0.012069000 seconds | std::__1::unordered_map<std::__1::basic_string<char>, int, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, int> > >;
Time: 0.012046999 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >::operator[];
Time: 0.012007000 seconds | std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::operator[];
Time: 0.011853000 seconds | std::__1::map<signed char, float, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, float> > >::operator[];
Time: 0.011820000 seconds | std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > >::operator[];
Time: 0.011328000 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr<apache::thrift::transport::TBufferedTransport>;
Time: 0.011296999 seconds | std::__1::vector<std::__1::pair<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double>, std::__1::allocator<std::__1::pair<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >::reserve;
Time: 0.011235000 seconds | std::__1::shared_ptr<apache::thrift::protocol::TProtocol>::shared_ptr<apache::thrift::protocol::TJSONProtocol>;
Time: 0.010982000 seconds | std::__1::__hash_value_type<short, apache::thrift::reflection::StructField>;
Time: 0.010953000 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr<apache::thrift::transport::TFramedTransport>;
Time: 0.010724000 seconds | std::__1::swap<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >;
Time: 0.010359000 seconds | std::__1::move;
Time: 0.009806999 seconds | std::__1::unordered_set<unsigned long, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::HashIndirect, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::EqualIndirect, std::__1::allocator<unsigned long> >::unordered_set;
