Time: 4.447459869 seconds | CompleteTranslationUnit;
Time: 0.049083000 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::map<apache::thrift::type_class::integral, apache::thrift::type_class::floating_point>, std::__1::map<bool, double, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, double> > >, void>::read<apache::thrift::BinaryProtocolReader>;
Time: 0.046562999 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::map<apache::thrift::type_class::integral, apache::thrift::type_class::integral>, std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, void>::read<apache::thrift::BinaryProtocolReader>;
Time: 0.027093999 seconds | std::__1::map<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short, std::__1::less<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> > >, std::__1::allocator<std::__1::pair<const std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short> > >;
Time: 0.024485000 seconds | std::__1::vector<example::thrift12::Struct1, std::__1::allocator<example::thrift12::Struct1> >::vector;
Time: 0.023935000 seconds | std::__1::map<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float, std::__1::less<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float> > >;
Time: 0.021640999 seconds | std::__1::map<float, std::__1::vector<short, std::__1::allocator<short> >, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, std::__1::vector<short, std::__1::allocator<short> > > > >::map;
Time: 0.019882999 seconds | std::__1::pair<const long long, example::thrift12::Struct1>;
Time: 0.017917999 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::set<apache::thrift::type_class::string>, std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >, void>::read<apache::thrift::BinaryProtocolReader>;
Time: 0.017777999 seconds | std::__1::pair<const std::__1::map<double, std::__1::basic_string<char>, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::basic_string<char> > > >, example::thrift32::Struct13>;
Time: 0.017469999 seconds | std::__1::pair<const short, example::thrift29::Struct7>;
Time: 0.017202000 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short> > >;
Time: 0.017092999 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::set<apache::thrift::type_class::floating_point>, std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >, void>::read<apache::thrift::BinaryProtocolReader>;
Time: 0.015605000 seconds | std::__1::map<double, example::thrift32::Struct9, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, example::thrift32::Struct9> > >;
Time: 0.013590000 seconds | std::__1::pair<const example::thrift19::Struct2, example::thrift19::Struct0>;
Time: 0.012942000 seconds | std::__1::pair<const std::__1::map<bool, std::__1::basic_string<char>, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, std::__1::basic_string<char> > > >, example::thrift32::Struct7>;
Time: 0.012217999 seconds | std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >;
Time: 0.012134999 seconds | std::__1::operator==<example::thrift12::Struct0, std::__1::allocator<example::thrift12::Struct0> >;
Time: 0.011626999 seconds | std::__1::swap;
