.699635339 seconds | CompleteTranslationUnit;
.000062000 seconds | std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::append;
.002491999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ProfiledPthreadMutex>;
.000510000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ProfiledPthreadRWMutex>;
.000076999 seconds | std::__1::chrono::duration<long long, std::__1::ratio<1, 1000> >::zero;
.000115000 seconds | std::__1::chrono::operator==<long long, std::__1::ratio<1, 1000>, long long, std::__1::ratio<1, 1000> >;
.010359000 seconds | std::__1::move;
.000056999 seconds | std::__1::move<apache::thrift::concurrency::Guard &>;
.000537999 seconds | std::__1::swap;
.000221000 seconds | std::__1::swap<const apache::thrift::concurrency::Mutex *>;
.000234000 seconds | std::__1::chrono::operator!=<long long, std::__1::ratio<1, 1000>, long long, std::__1::ratio<1, 1000> >;
.000456999 seconds | std::__1::swap;
.000197999 seconds | std::__1::swap<const apache::thrift::concurrency::ReadWriteMutex *>;
.000055000 seconds | std::__1::shared_ptr<apache::thrift::protocol::TProtocol>::shared_ptr;
.000058999 seconds | folly::exception_wrapper::exception_wrapper;
.000052999 seconds | folly::operator<<;
.000013999 seconds | folly::operator<<;
.000763000 seconds | folly::exception_wrapper::exception_wrapper;
.000122000 seconds | folly::Range<const char *>::Range;
.000056999 seconds | folly::operator<<;
.000541999 seconds | std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>;
.000522999 seconds | std::__1::shared_ptr<std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > > >;
.000121000 seconds | std::__1::vector<void *, std::__1::allocator<void *> >::vector;
.000075999 seconds | std::__1::shared_ptr<std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > > >::shared_ptr;
.002009999 seconds | std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > >;
.000335999 seconds | std::__1::__wrap_iter<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> *>;
.000071000 seconds | std::__1::__wrap_iter<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> *>::__wrap_iter;
.000061000 seconds | std::__1::error_condition::error_condition;
.000060999 seconds | std::__1::make_shared;
.000119999 seconds | std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>::shared_ptr;
.000418999 seconds | std::__1::__wrap_iter<const std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> *>;
.000103000 seconds | std::__1::__wrap_iter<const std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> *>::__wrap_iter;
.000070000 seconds | std::__1::__wrap_iter<const std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> *>::__wrap_iter;
.003830999 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >;
.000145000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000140000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000736000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr<true, void>;
.000061000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000050000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::operator=;
.000058999 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000539000 seconds | std::__1::shared_ptr<apache::thrift::TProcessor>;
.000442999 seconds | folly::Function<bool ()>;
.000560000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::FunctionRunner>;
.000081999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::FunctionRunner>::shared_ptr;
.000061000 seconds | ;
.000608999 seconds | folly::Function<void ()>::Function;
.000072999 seconds | folly::Function<void ()>::Function;
.000063000 seconds | folly::Function<void ()>::Function;
.000351999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp/concurrency/FunctionRunner.h:84:12), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp/concurrency/FunctionRunner.h:84:12), void>;
.000134999 seconds | folly::Function<void ()>::operator=;
.000223000 seconds | folly::Function<bool ()>::Function;
.000058000 seconds | folly::Function<bool ()>::Function;
.000229999 seconds | folly::Function<bool ()>::operator=;
.000080999 seconds | std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> >::zero;
.000455999 seconds | std::__1::shared_ptr<folly::Executor>;
.000061999 seconds | std::__1::move<std::__1::shared_ptr<folly::Executor> &>;
.000539999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>;
.000055999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>::shared_ptr;
.000081000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>::shared_ptr;
.000694999 seconds | folly::Function<void ()>::Function;
.000348999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp/concurrency/ThreadManager.h:413:15), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp/concurrency/ThreadManager.h:413:15), void>;
.000081999 seconds | std::__1::move<std::__1::shared_ptr<apache::thrift::concurrency::Runnable> &>;
.000582999 seconds | folly::Function<void ()>::Function;
.000361000 seconds | std::__1::function<void (std::__1::shared_ptr<apache::thrift::concurrency::Runnable>)>;
.000296999 seconds | std::__1::function<void ()>;
.000197000 seconds | std::__1::weak_ptr<apache::thrift::concurrency::PthreadThread>;
.000574999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::PosixThreadFactory::Impl>;
.000156000 seconds | std::__1::chrono::operator><long long, std::__1::ratio<1, 1000>, long long, std::__1::ratio<1, 1000> >;
.000182999 seconds | std::__1::chrono::operator+;
.001692000 seconds | std::__1::chrono::operator+<std::__1::chrono::system_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> >, long long, std::__1::ratio<1, 1000> >;
.000084999 seconds | std::__1::chrono::time_point<std::__1::chrono::system_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> > >::time_point;
.000631000 seconds | std::__1::chrono::operator!=<std::__1::chrono::system_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> >, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> > >;
.002010999 seconds | folly::PriorityMPMCQueue<std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >, std::atomic, false>;
.004597999 seconds | std::__1::deque<std::__1::shared_ptr<apache::thrift::concurrency::Thread>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::concurrency::Thread> > >;
.006415000 seconds | std::__1::map<const unsigned long long, std::__1::shared_ptr<apache::thrift::concurrency::Thread>, std::__1::less<const unsigned long long>, std::__1::allocator<std::__1::pair<const unsigned long long, std::__1::shared_ptr<apache::thrift::concurrency::Thread> > > >;
.000131000 seconds | std::__1::deque<std::__1::shared_ptr<apache::thrift::concurrency::Thread>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::concurrency::Thread> > >::deque;
.000361999 seconds | std::__1::chrono::duration_cast<std::__1::chrono::duration<long long, std::__1::ratio<1, 1000> >, long long, std::__1::ratio<1, 1000000> >;
.003105000 seconds | std::__1::atomic<long long>;
.000053000 seconds | folly::exceptionStr;
.000153000 seconds | folly::exception_wrapper::exception_wrapper;
.000056000 seconds | folly::operator<<;
.000375000 seconds | std::__1::make_pair;
.003031999 seconds | std::__1::make_pair<unsigned long long, std::__1::shared_ptr<apache::thrift::concurrency::Thread> &>;
.003172999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >;
.000121000 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000660000 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr<true, void>;
.000135999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000060999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000068999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr<true, void>;
.000059999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000058000 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000055999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000055999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000064999 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager::Task, std::__1::default_delete<apache::thrift::concurrency::ThreadManager::Task> >::unique_ptr;
.000274000 seconds | std::__1::chrono::operator-<std::__1::chrono::system_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> >, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> > >;
.000315999 seconds | std::__1::chrono::duration_cast<std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000> >, long long, std::__1::ratio<1, 1000000> >;
.000623000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadManager::Observer>;
.000528000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadManager>;
.000426999 seconds | folly::to;
.000520999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::PosixThreadFactory>;
.000064999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>::shared_ptr;
.000053000 seconds | ;
.003425000 seconds | std::__1::unique_ptr<apache::thrift::concurrency::ThreadManager, std::__1::default_delete<apache::thrift::concurrency::ThreadManager> >;
.003756000 seconds | std::__1::array<std::__1::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, unsigned long>, 5>;
.000537000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::PriorityThreadManager>;
.000116999 seconds | std::__1::array<unsigned long, 5>;
.000096000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, unsigned long>::pair;
.000094000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, unsigned long>::pair;
.000248000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, unsigned long>::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, const unsigned long &, false>;
.000056999 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::concurrency::ThreadFactory>, unsigned long>::pair;
.000052000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000071999 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000545999 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSocket>;
.000075999 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSocket>::shared_ptr;
.000534000 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSSLSocket>;
.000077000 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSSLSocket>::shared_ptr;
.000122000 seconds | std::__1::chrono::duration<long long, std::__1::ratio<1, 1000> >::duration;
.000111999 seconds | std::__1::chrono::duration<long long, std::__1::ratio<1, 1000> >::duration<unsigned long long>;
.000529999 seconds | std::__1::shared_ptr<folly::EventBase *>;
.000055999 seconds | folly::exception_wrapper::exception_wrapper;
.000534999 seconds | std::__1::shared_ptr<apache::thrift::RequestChannel>;
.000491999 seconds | std::__1::shared_ptr<apache::thrift::TClientBase>;
.000398000 seconds | std::__1::shared_ptr<x509_st>;
.001349999 seconds | std::__1::unique_ptr<void, void (*)(void *)>;
.000396999 seconds | std::__1::function<std::__1::unique_ptr<void, void (*)(void *)> (x509_st *, const apache::thrift::SaslServer *, const folly::SocketAddress &)>;
.000697000 seconds | std::__1::function<std::__1::unique_ptr<void, void (*)(void *)> (x509_st *, const apache::thrift::SaslServer *, const folly::SocketAddress &)>::function;
.000163999 seconds | std::__1::function<std::__1::unique_ptr<void, void (*)(void *)> (x509_st *, const apache::thrift::SaslServer *, const folly::SocketAddress &)>::function;
.000053000 seconds | std::__1::unique_ptr<void, void (*)(void *)>::unique_ptr;
.000064000 seconds | std::__1::shared_ptr<x509_st>::shared_ptr;
.000052999 seconds | std::__1::shared_ptr<x509_st>::shared_ptr;
.000059999 seconds | std::__1::unique_ptr<void, void (*)(void *)>::operator=;
.003133999 seconds | std::__1::unique_ptr<std::__1::basic_string<char>, std::__1::default_delete<std::__1::basic_string<char> > >;
.000128999 seconds | std::__1::unique_ptr<std::__1::basic_string<char>, std::__1::default_delete<std::__1::basic_string<char> > >::unique_ptr;
.000124000 seconds | std::__1::unique_ptr<std::__1::basic_string<char>, std::__1::default_delete<std::__1::basic_string<char> > >::unique_ptr;
.000051000 seconds | std::__1::operator<<;
.000674000 seconds | folly::Optional<std::__1::chrono::time_point<std::__1::chrono::steady_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000000> > > >;
.000124000 seconds | folly::Optional<std::__1::chrono::time_point<std::__1::chrono::steady_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000000> > > >::Optional;
.000067000 seconds | std::__1::unique_ptr<void, void (*)(void *)>::unique_ptr;
.000086000 seconds | folly::Optional<std::__1::chrono::time_point<std::__1::chrono::steady_clock, std::__1::chrono::duration<long long, std::__1::ratio<1, 1000000000> > > >::hasValue;
.000050000 seconds | folly::Function<void ()>::Function;
.000055000 seconds | folly::Function<void ()>::Function;
.000602999 seconds | folly::Function<void ()>::Function;
.000074000 seconds | folly::Function<void ()>::Function;
.000356000 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:54:37), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:54:37), void>;
.000057999 seconds | folly::exception_wrapper::exception_wrapper;
.000605000 seconds | folly::Function<void ()>::Function;
.000071999 seconds | folly::Function<void ()>::Function;
.000338000 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:68:37), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:68:37), void>;
.003284999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >;
.000067000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000121999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000131000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000078999 seconds | std::__1::move<std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> > &>;
.000059999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000050999 seconds | folly::exception_wrapper::exception_wrapper;
.000655999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr<true, void>;
.000059999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000061000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000062000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000554999 seconds | folly::Function<void ()>::Function;
.000071000 seconds | folly::Function<void ()>::Function;
.000356000 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:308:33), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:308:33), void>;
.000083999 seconds | folly::exception_wrapper::exception_wrapper;
.000704000 seconds | folly::Function<void ()>::Function;
.000070999 seconds | folly::Function<void ()>::Function;
.000334999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:333:42), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:333:42), void>;
.000379000 seconds | folly::exception_wrapper::exception_wrapper;
.000553000 seconds | folly::Function<void ()>::Function;
.000071999 seconds | folly::Function<void ()>::Function;
.000330999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:339:42), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:339:42), void>;
.000051000 seconds | folly::exception_wrapper::exception_wrapper;
.000556000 seconds | folly::Function<void ()>::Function;
.000069999 seconds | folly::Function<void ()>::Function;
.000331999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:346:42), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:346:42), void>;
.003210999 seconds | std::__1::unique_ptr<apache::thrift::HandlerCallbackBase, std::__1::default_delete<apache::thrift::HandlerCallbackBase> >;
.000070999 seconds | std::__1::operator<<;
.000074000 seconds | std::__1::move<std::exception_ptr &>;
.000051999 seconds | std::__1::move<apache::thrift::TApplicationException &>;
.000776999 seconds | folly::exception_wrapper::exception_wrapper;
.000057999 seconds | folly::operator<<;
.000050000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000068000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000053999 seconds | folly::operator<<;
.000067000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000066000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000058999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000567999 seconds | folly::Function<void ()>::Function;
.000070999 seconds | folly::Function<void ()>::Function;
.000349999 seconds | folly::Function<void ()>::Function<(lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:491:11), (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp2/async/AsyncProcessor.h:491:11), void>;
.000061999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000059999 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.000062000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000061000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.003471999 seconds | std::__1::unique_ptr<apache::thrift::HandlerCallback<void>, std::__1::default_delete<apache::thrift::HandlerCallback<void> > >;
.000050000 seconds | folly::exception_wrapper::exception_wrapper;
.000131000 seconds | std::__1::forward<folly::Try<folly::Unit> >;
.000070000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000062999 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000062000 seconds | std::__1::unique_ptr<apache::thrift::ContextStack, std::__1::default_delete<apache::thrift::ContextStack> >::unique_ptr;
.017981000 seconds | std::__1::unordered_map<int, const apache::thrift::frozen::schema::MemoryField *, std::__1::hash<int>, std::__1::equal_to<int>, std::__1::allocator<std::__1::pair<const int, const apache::thrift::frozen::schema::MemoryField *> > >;
.001370000 seconds | std::__1::unordered_map<int, const apache::thrift::frozen::schema::MemoryField *, std::__1::hash<int>, std::__1::equal_to<int>, std::__1::allocator<std::__1::pair<const int, const apache::thrift::frozen::schema::MemoryField *> > >::unordered_map;
.000729000 seconds | std::__1::__bit_iterator<std::__1::vector<bool, std::__1::allocator<bool> >, false, 0>;
.000055999 seconds | folly::Range<const char *>::Range;
.000052000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000067000 seconds | std::__1::unique_ptr<apache::thrift::ResponseChannel::Request, std::__1::default_delete<apache::thrift::ResponseChannel::Request> >::unique_ptr;
.000058000 seconds | folly::exception_wrapper::exception_wrapper;
.000083999 seconds | std::__1::move<std::__1::unique_ptr<apache::thrift::HandlerCallbackBase, std::__1::default_delete<apache::thrift::HandlerCallbackBase> > &>;
.000140000 seconds | std::__1::unique_ptr<apache::thrift::HandlerCallbackBase, std::__1::default_delete<apache::thrift::HandlerCallbackBase> >::unique_ptr;
.000141000 seconds | std::__1::unique_ptr<apache::thrift::HandlerCallbackBase, std::__1::default_delete<apache::thrift::HandlerCallbackBase> >::unique_ptr;
.000554000 seconds | std::__1::numeric_limits<const unsigned int>;
.000072999 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000065000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000062000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000063000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000061000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::operator=;
.000065000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000059999 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000051000 seconds | folly::Range<const unsigned char *>::Range;
.000011000 seconds | apache::thrift::util::readVarint;
.000031000 seconds | ;
.000052000 seconds | std::__1::is_constructible<folly::io::Cursor, const folly::io::Cursor &>;
.000061000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::operator=;
.001265000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::operator=;
.000159000 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::set<apache::thrift::type_class::floating_point>, std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >, void>;
.001212999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >::operator=;
.000197000 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::map<apache::thrift::type_class::binary, apache::thrift::type_class::map<apache::thrift::type_class::map<apache::thrift::type_class::integral, apache::thrift::type_class::integral>, apache::thrift::type_class::floating_point> >, std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >, void>;
.000493000 seconds | std::__1::vector<double, std::__1::allocator<double> >::operator=;
.000081000 seconds | apache::thrift::detail::pm::protocol_methods<apache::thrift::type_class::list<apache::thrift::type_class::floating_point>, std::__1::vector<double, std::__1::allocator<double> >, void>;
.001269999 seconds | std::__1::map<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > > >::operator=;
