Time: 6.841851418 seconds | CompleteTranslationUnit;
Time: 0.105391999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
Time: 0.041029999 seconds | std::__1::pair<const signed char, cpp2::Struct0>;
Time: 0.038715000 seconds | std::__1::pair<const signed char, cpp2::Struct2>;
Time: 0.033830000 seconds | std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, cpp2::Struct6>;
Time: 0.030889999 seconds | std::__1::pair<const signed char, cpp2::Struct3>;
Time: 0.030057999 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > >, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > > > > >;
Time: 0.023366999 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int> > >::map;
Time: 0.021328999 seconds | std::__1::map<short, float, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, float> > >::map;
Time: 0.021230000 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct15>;
Time: 0.021167000 seconds | std::__1::pair<const short, cpp2::Struct5>;
Time: 0.021135000 seconds | std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > >::map;
Time: 0.019241000 seconds | std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::map<std::__1::basic_string<char>, long long, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > > >;
Time: 0.014403000 seconds | std::__1::map<cpp2::Struct8, cpp2::Struct7, std::__1::less<cpp2::Struct8>, std::__1::allocator<std::__1::pair<const cpp2::Struct8, cpp2::Struct7> > >;
Time: 0.014384999 seconds | std::__1::pair<const cpp2::Struct8, cpp2::Struct7>;
Time: 0.014324000 seconds | std::__1::operator==<std::__1::map<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char> > > >, float, std::__1::less<std::__1::map<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char> > > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<int, long long, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, long long> > >, std::__1::basic_string<char> > > >, float> > >;
Time: 0.013859000 seconds | std::__1::map<short, std::__1::vector<float, std::__1::allocator<float> >, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, std::__1::vector<float, std::__1::allocator<float> > > > >;
Time: 0.013190000 seconds | std::__1::operator==<std::__1::map<std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char>, std::__1::less<std::__1::vector<short, std::__1::allocator<short> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char> > > >, std::__1::vector<signed char, std::__1::allocator<signed char> >, std::__1::less<std::__1::map<std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char>, std::__1::less<std::__1::vector<short, std::__1::allocator<short> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char> > > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char>, std::__1::less<std::__1::vector<short, std::__1::allocator<short> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, std::__1::basic_string<char> > > >, std::__1::vector<signed char, std::__1::allocator<signed char> > > > >;
Time: 0.012293999 seconds | std::__1::operator==<double, std::__1::map<std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > >, bool, std::__1::less<std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > >, bool> > >, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::map<std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > >, bool, std::__1::less<std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<double, int, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, int> > >, bool> > > > > >;
Time: 0.011959000 seconds | std::__1::set<std::__1::map<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long, std::__1::less<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long> > >, std::__1::less<std::__1::map<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long, std::__1::less<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long> > > >, std::__1::allocator<std::__1::map<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long, std::__1::less<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >, long long> > > > >;
