Time: 7.175046314 seconds | CompleteTranslationUnit;
Time: 0.110850999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
Time: 0.038831000 seconds | std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, cpp2::Struct6>;
Time: 0.038578000 seconds | std::__1::pair<const signed char, cpp2::Struct0>;
Time: 0.036874000 seconds | std::__1::pair<const signed char, cpp2::Struct2>;
Time: 0.032971000 seconds | std::__1::pair<const signed char, cpp2::Struct3>;
Time: 0.029390999 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > >, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > > > > >;
Time: 0.026547000 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct15>;
Time: 0.023153000 seconds | std::__1::map<short, float, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, float> > >::map;
Time: 0.023047999 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int> > >::map;
Time: 0.021326000 seconds | std::__1::pair<const short, cpp2::Struct5>;
Time: 0.020350999 seconds | std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > >::map;
Time: 0.019409000 seconds | std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::map<std::__1::basic_string<char>, long long, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > > >;
Time: 0.016917999 seconds | std::__1::pair<const cpp2::Struct8, cpp2::Struct7>;
Time: 0.016754999 seconds | std::__1::map<short, std::__1::vector<float, std::__1::allocator<float> >, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, std::__1::vector<float, std::__1::allocator<float> > > > >;
Time: 0.015989999 seconds | std::__1::map<cpp2::Struct8, cpp2::Struct7, std::__1::less<cpp2::Struct8>, std::__1::allocator<std::__1::pair<const cpp2::Struct8, cpp2::Struct7> > >;
Time: 0.012966000 seconds | std::__1::operator==<std::__1::basic_string<char>, std::__1::map<std::__1::basic_string<char>, std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > > > > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::basic_string<char>, std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > > > > > > > >;
Time: 0.011629999 seconds | std::__1::operator==<double, std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > > > >;
Time: 0.011417999 seconds | std::__1::vector<std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >, std::__1::allocator<std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> > > >::vector;
