Time: 7.189277356 seconds | CompleteTranslationUnit;
Time: 0.107458999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
Time: 0.041460999 seconds | std::__1::pair<const signed char, cpp2::Struct0>;
Time: 0.038913999 seconds | std::__1::pair<const signed char, cpp2::Struct2>;
Time: 0.031778000 seconds | std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, cpp2::Struct6>;
Time: 0.031767000 seconds | std::__1::pair<const signed char, cpp2::Struct3>;
Time: 0.028817999 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > >, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > > > > >;
Time: 0.023464999 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, int> > >::map;
Time: 0.023298999 seconds | std::__1::map<short, float, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, float> > >::map;
Time: 0.022464999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct15>;
Time: 0.022387000 seconds | std::__1::map<int, float, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, float> > >::map;
Time: 0.020084999 seconds | std::__1::pair<const short, cpp2::Struct5>;
